World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,ALGERIA,,,,,,,,,,,,,,,
Station_Name,EL-BAYADH,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
60550,33|43|11|N,001|05|41|E,1361.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
0-20000-0-60550,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60550,1,Sum,4,24.5,18.8,29.1,30.5,20.9,14.4,6.9,15.8,29.2,34.9,30.2,24.5,279.7
60550,1,MinMon,17,0.0,0.0,0.5,0.8,0.5,0.0,0.5,0.8,4.4,0.3,0.0,0.3,
60550,1,DMinMon,18,2000,2000,2017,2008,1999,1997,1999,2020,2004,2006,1996,2015,
60550,1,MaxMon,19,86.9,64.0,105.4,109.8,71.5,86.2,36.1,49.4,82.0,176.3,120.3,60.0,
60550,1,DMaxMon,20,1999,2006,1991,2011,2006,1996,2013,2018,2005,2008,2012,1999,
60550,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60550,2,Count,5,5.2,3.9,4.9,4.7,3.3,2.4,1.7,3.6,4.3,4.1,4.1,5.3,47.5
60550,2,MinMon,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
60550,2,DMinMon,18,2000,1997,2001,2008,1999,1997,1998,1996,2002,1992,1991,2015,
60550,2,MaxMon,19,13.0,8.0,12.0,13.0,11.0,10.0,7.0,11.0,11.0,16.0,9.0,12.0,
60550,2,DMaxMon,20,2003,1991,2018,1997,2004,1996,2013,2015,1997,2008,2012,2016,
60550,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60550,3,Mean,1,10.0,11.8,15.5,19.3,24.7,30.6,35.0,33.9,28.1,21.8,14.5,10.8,21.3
60550,3,MinMon,17,5.4,6.9,11.5,15.2,19.2,25.7,31.3,30.5,23.8,17.8,10.9,7.4,
60550,3,DMinMon,18,2006,2012,1992,2009,2004,1992,1992,2018,2009,1991,2008,2008,
60550,3,MaxMon,19,14.5,17.3,20.0,23.6,29.0,33.7,36.9,36.2,30.9,26.3,16.8,14.8,
