World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,ALGERIA,,,,,,,,,,,,,,,
Station_Name,MEDEA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
60437,36|16|52|N,002|43|54|E,1030.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
0-20000-0-60437,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60437,1,Sum,4,112.1,85.0,77.2,75.0,51.2,10.8,3.3,8.4,37.8,52.8,94.2,92.7,700.5
60437,1,MinMon,17,9.8,0.0,2.4,0.0,3.2,0.0,0.0,0.0,3.0,4.1,8.0,0.3,
60437,1,DMinMon,18,2000,2020,1994,2015,2017,1994,1995,2016,2011,2001,1996,2015,
60437,1,MaxMon,19,449.5,301.6,307.3,197.1,215.5,56.4,17.0,30.0,104.7,136.4,186.5,226.0,
60437,1,DMaxMon,20,2017,2015,2007,2020,2006,2018,2007,1997,2018,1994,1997,2014,
60437,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60437,2,Count,5,10.3,9.1,7.8,7.6,5.7,1.7,0.9,1.4,4.5,6.2,9.2,9.5,73.9
60437,2,MinMon,17,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,
60437,2,DMinMon,18,1993,2020,1994,2015,1995,1993,1994,1992,2011,2001,2006,2015,
60437,2,MaxMon,19,19.0,18.0,17.0,16.0,15.0,5.0,5.0,5.0,10.0,12.0,18.0,17.0,
60437,2,DMaxMon,20,2009,2015,2018,2020,2004,1992,1996,1997,2009,1994,2010,2006,
60437,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60437,3,Mean,1,9.3,10.0,13.4,16.3,21.3,27.4,31.9,31.6,25.9,20.7,13.6,10.2,19.3
60437,3,MinMon,17,6.7,5.7,10.3,12.9,15.7,20.7,27.7,28.3,22.2,16.8,10.9,7.9,
60437,3,DMinMon,18,2003,2005,1992,1991,2004,1992,1992,2002,1996,1991,2019,2008,
60437,3,MaxMon,19,12.7,15.8,17.0,20.8,25.7,31.5,34.8,35.4,29.4,26.0,17.1,15.3,
