World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,TANZANIA,,,,,,,,,,,,,,,
Station_Name,MUSOMA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
63733,01|30|00|S,033|48|00|E,1147,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-20000-0-63733,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
63733,1,Sum,4,61.5,58.2,147.3,162.6,108.1,28.7,12.9,21.1,28.7,66.7,119.1,88.8,903.7
63733,1,MinMon,17,0.4,3.9,31.6,59,27,0.8,0,0,1.6,9.1,29.1,8.1,
63733,1,DMinMon,18,2003,2013,1992,2012,2008,1999,1998,2010,1997,2013,1998,1998,
63733,1,MaxMon,19,181.2,223.4,370.9,343.8,288,98.4,50,107.8,100.6,220.7,361.1,278.8,
63733,1,DMaxMon,20,2020,1998,1999,2015,2009,1991,2007,2014,2011,1991,2011,2009,
63733,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
63733,2,Count,5,7.7,6.1,10.9,14.2,10.7,3.4,1.5,2.5,4.3,7.6,11.7,9.8,90.4
63733,2,MinMon,17,0,2,3,7,4,0,0,0,0,2,6,3,
63733,2,DMinMon,18,2003,2005,1992,2019,2011,1999,1993,1991,1997,1993,2018,1993,
63733,2,MaxMon,19,14,12,18,22,15,7,5,6,10,17,21,21,
63733,2,DMaxMon,20,2020,1996,1994,2013,2012,2019,2007,2011,2007,2019,1997,2006,
63733,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
63733,3,Mean,1,28.5,29.3,29.1,28.6,28.6,28.6,28.7,28.9,29.2,29.4,28.5,28.2,28.8
63733,3,MinMon,17,25.8,28.2,27.1,27.4,27.5,27.6,27.3,27.3,27.9,27.7,26.9,25.8,
63733,3,DMinMon,18,2001,2007,1999,2018,2005,2007,2001,2011,2011,2008,2011,2006,
63733,3,MaxMon,19,29.9,30.4,31,30.1,29.3,29.6,29.6,30,31.1,30.7,29.7,30,
63733,3,DMaxMon,20,2006,2002,1997,1993,2020,2002,1993,2009,1997,2006,2010,2005,
63733,3,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
