"Word Meteorological Organization Climate Normals for 1991-2020",,,,,,,,,,,,,,,,
"Single Station Data Sheet For Oll Climatological Surface Parameters",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Station Header Record",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Country name",TUNISIA,,,,,,,,,,,,,,,
Station_Name,NABEUL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
60728,36|27|N,10|44|E,4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Principal Climatological Surface Parameters",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60728, 1,Sum    , 4,   50.9,   36.4,   35.8,   31.5,   20.2,    6.2,    4.2,   11.5,   47.0,   60.0,   55.3,   50.1,  409.1
60728,1,NOY,98,29,28,27,28,29,29,28,29,29,28,30,29,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_>=_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60728, 2,Count  , 5,    6.2,    5.7,    4.8,    4.8,    2.9,    1.3,    0.5,    1.6,    4.6,    5.3,    5.6,    6.1,   49.4
60728,2,NOY,98,29,28,27,28,29,29,28,29,29,28,30,29,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60728, 3,Mean   , 1,   16.3,   16.4,   18.4,   20.7,   24.5,   29.0,   31.9,   32.4,   29.0,   25.5,   21.0,   17.4,   23.5
60728,3,NOY,98,28,27,25,27,26,28,25,27,28,25,26,25,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
4,Daily_Minimum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60728, 4,Mean   , 1,    9.1,    8.8,   10.6,   12.7,   15.8,   19.5,   22.3,   23.3,   21.1,   18.1,   13.8,   10.4,   15.4
60728,4,NOY,98,28,27,24,26,27,24,24,26,28,26,27,26,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
5,Daily_Mean_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60728, 5,Mean   , 1,   12.7,   12.6,   14.5,   16.7,   20.1,   24.3,   27.1,   27.8,   25.1,   21.8,   17.4,   13.9,   19.5
60728,5,NOY,98,28,27,24,26,26,24,24,26,28,25,26,25,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
6,Mean_Sea_Level_Pressure,hpa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60728, 6,Mean   , 1,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
60728,6,NOY,98,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
7,Mean_Vapor_Pressure,hpa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
60728, 7,Mean   , 1,   11.4,   11.1,   12.4,   14.4,   17.0,   20.2,   23.8,   26.0,   24.1,   20.4,   15.4,   12.4,   17.4
60728,7,NOY,98,29,28,27,28,29,29,28,29,29,28,30,29,
