World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,INDIA,,,,,,,,,,,,,,,
Station_Name,OSMANABAD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
43075,18|10|00|N,76|46|00|E,662.89,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
43075,1,Sum,4,1.8,1.5,9.2,21.1,31.5,121.5,173.2,182.4,179.8,85.9,18.5,2.7,829.2
43075,1,NOY,98,18,20,19,20,18,20,18,18,19,18,17,18,25
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
43075,3,Mean,1,30.7,33,36.5,38.7,39.3,33.3,29.9,28.7,30.2,31.6,31.2,30.8,32.9
43075,3,NOY,98,18,20,19,20,18,20,18,18,19,18,17,18,25
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
4,Daily_Minimum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
43075,4,Mean,1,14.5,16.5,20.6,23,23.9,21.8,20.9,20.1,20.3,19.4,16.5,13.9,19.3
43075,4,NOY,98,18,20,19,20,18,20,18,18,19,18,17,18,25
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
6,Mean Sea Level Pressure,hPa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
43075,6,Mean,1,1012.4,1010.8,1007.8,1005.1,1002.8,1002,1002.5,1004.2,1005.8,1008.5,1011.6,1013.4,1007.3
43075,6,NOY,98,17,17,17,17,16,16,17,15,16,15,16,16,18
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
7,Mean_Vapor_Pressure,hPa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
43075,7,Mean,1,15.3,15.8,17.1,19.5,22,26,26.4,26,25.7,22.9,18.4,14.9,20.7
43075,7,NOY,98,17,17,17,17,16,16,17,15,16,15,16,16,18
,,,,,,,,,,,,,,,,
Secondary and Other Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
10,Mean_Station-Level_ Pressure,hPa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
43075,10,Mean,1,939.3,938.4,936.5,934.6,932.5,930.4,930.5,931.9,933.6,936.3,938.9,940.1,935.3
43075,10,NOY,98,17,17,17,17,16,16,17,15,16,15,16,16,18
