World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name, Kazakhstan,,,,,,,,,,,,,,,
Station_Name,Mahambet,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
35605,47|41|06|N,51|35|46|E,-18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-398-0-35605,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
35605,1,Sum,4,13.4,10.4,14.5,17.2,24.9,28.2,15.7,11.6,13,19.1,16.1,15.1,199.2
35605,1,MinMon,17,1,0,0,0,1,0,0,0,0.3,0,0,1.7,
35605,1,DMinMon,18,1996,2005,1996,1994,2005,2010,1994,1996,2012,2007,2005,2003,
35605,1,MaxMon,19,38.1,22.8,52,50.2,80.7,102.7,92.9,56.8,53.7,51.9,53.3,47.2,
35605,1,DMaxMon,20,2016,1994,1998,1997,2016,2011,2000,1992,1992,2003,2007,2015,
35605,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_>=_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
35605,2,Count,5,3.7,2.9,3.6,3.6,4.1,3.6,2.5,2,2.4,3.5,3.4,4.3,39.6
35605,2,MinMon,17,1,0,0,0,1,0,0,0,0,0,0,0,
35605,2,DMinMon,18,1996,2001,1991,1994,2005,2010,1994,1996,1994,2007,2005,2003,
35605,2,MaxMon,19,9,7,9,9,10,8,8,8,5,8,8,8,
35605,2,DMaxMon,20,1991,1992,2016,2007,2009,1993,2019,2009,1992,2005,2006,2015,
35605,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
35605,3,Mean,1,-3.7,-2,6.7,17.8,25.8,31.7,34,32.5,24.9,15.9,5,-1.7,15.6
35605,3,MinMon,17,-11.5,-12.3,-0.4,14.1,20.2,26.6,29.5,27.6,20.8,12.1,-4.3,-8.9,
35605,3,DMinMon,18,2006,2012,1994,2009,2002,2003,1994,1992,1993,1992,1993,2002,
35605,3,MaxMon,19,3,5.6,14.2,26,30.8,36.3,38.1,37.5,28.7,19.5,10.5,3.6,
35605,3,DMaxMon,20,2007,2020,2020,2012,2014,2015,2010,2016,2015,1991,2010,2010,
35605,3,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
