World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name, Kazakhstan,,,,,,,,,,,,,,,
Station_Name,Zhetysai,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
38584,40|48|48|N,68|10|56|E,261,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-398-0-38584,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
38584,1,Sum,4,37.6,46.5,47.3,39.5,25.7,7.1,1.4,1.6,2.7,13.3,33.5,39.2,295.4
38584,1,MinMon,17,6,0,4.7,3.8,0,0,0,0,0,0,0,4.1,
38584,1,DMinMon,18,2018,2016,2020,2012,2001,2001,1992,1991,1991,2002,1995,1999,
38584,1,MaxMon,19,73.6,108.3,104.6,131.3,73,60.7,7.3,11.7,22.3,41.3,125.9,122.4,
38584,1,DMaxMon,20,2005,1993,2003,2019,1997,1993,1998,2020,1996,2018,2011,1991,
38584,1,NOY,98,29,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_>=_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
38584,2,Count,5,6.6,7.1,7.7,6.1,4.2,1.4,0.4,0.4,0.6,2.2,5.4,6.2,48.3
38584,2,MinMon,17,3,0,3,1,0,0,0,0,0,0,0,2,
38584,2,DMinMon,18,2001,2016,2000,2012,1996,1995,1991,1991,1991,1994,1995,1996,
38584,2,MaxMon,19,12,15,15,13,12,5,2,2,3,6,16,12,
38584,2,DMaxMon,20,2005,2010,2003,2002,1991,1993,1993,1998,2017,2001,1993,1991,
38584,2,NOY,98,29,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
38584,3,Mean,1,5.1,7.9,15.4,22.9,29.6,34.9,36.2,34.5,29.2,22.3,13.3,6.3,21.5
38584,3,MinMon,17,-3.8,-0.4,10.8,18.7,24.7,32.8,34.3,32.5,26.8,17.8,7.1,0.5,
38584,3,DMinMon,18,2008,2014,1996,2009,1992,2009,2001,1992,1994,2000,1993,2002,
38584,3,MaxMon,19,8.9,13.6,22.2,27.2,33.9,36.7,38.6,36.7,31.9,27.1,18.5,11.1,
38584,3,DMaxMon,20,2010,1999,2008,2000,2001,2015,2019,1999,2016,1997,1995,1996,
38584,3,NOY,98,29,30,30,30,30,30,30,30,30,30,30,30,
