World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Country_Name,Turkmenistan,,,,,,,,,,,,,,,,,,
Station_Name,Bagtyyarlyk,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,,,
38799,38|05|18|N,62|48|19|E,188.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,,,,
0-20000-0-38799,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,
38799,1,Sum,4,21.4,22.8,27.6,16.3,9.0,1.0,0.3,0.1,0.9,4.4,14.2,11.7,129.8,,,
38799,1,MinMon,17,1.1,2.2,4.0,1.3,0.4,0,0,0.8,0,0,0.8,0.3,,,,
38799,1,DMinMon,18,2014,2014,2011,2013,2008,1991,1991,2001,1992,1991,1998,1999,,,,
38799,1,MaxMon,19,57.8,89.2,53.5,54.3,36.2,9.3,5.6,1.0,11.7,26.5,40.9,45.6,,,,
38799,1,DMaxMon,20,2004,1998,1992,2019,1997,1992,1998,2005,2014,2011,2003,1992,,,,
38799,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,
38799,2,Count,5,12.2,14.5,15.8,10.6,5.8,0.9,0.3,0.1,0.7,2.8,8.9,8.4,81.0,,,
38799,2,MinMon,17,0,1,1,0,0,0,0,0,0,0,0,0,,,,
38799,2,DMinMon,18,2014,2001,2008,2008,1995,1991,1991,1991,1992,1991,1998,1998,,,,
38799,2,MaxMon,19,9,9,10,8,6,2,2,1,2,4,8,8,,,,
38799,2,DMaxMon,20,2004,2015,1992,2009,1992,1992,1998,2005,1999,2011,2011,1992,,,,
38799,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,
38799,3,Mean,1,20.5,23.5,30.9,36.8,41.1,44.2,45.9,44.3,40.5,35.3,28.0,21.6,34.4,,,
38799,3,MinMon,17,9.8,18.3,26.1,31.6,37.1,41.1,43.5,41.7,34.2,28.5,22.8,11.4,,,,
