World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Country_Name,TURKMENISTAN,,,,,,,,,,,,,,,,,,,
Station_Name,BAYRAMALY,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,
38895,37|36|26|N,62|09|27|E,240,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,,,,,
0-20000-0-38895,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,
38895,1,Sum,4,22.4,29,34.2,23.5,10,0.9,0,0.3,0.5,5.5,16,14.8,157.1,,,,
38895,1,MinMon,17,58.4,108.1,76.5,76.7,41.9,9.8,0.4,8.3,7.2,46.5,41,56.9,,,,,
38895,1,DMinMon,18,2004,1998,2007,2019,1997,1992,1993;2001,1999,1999,2018,2011,1992,,,,,
38895,1,MaxMon,19,4.7,6.8,6,0,0,0,0,0,0,0,0.7,0.1,,,,,
38895,1,DMaxMon,20,2018,2004,2000,2012,1995,1991,1991,1991,1991,1991,1998,2008,,,,,
38895,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,
38895,2,Count,5,14.5,17.9,17.6,12.6,6.9,1.2,0.1,0.2,0.3,3.8,9.6,9.8,94.4,,,,
38895,2,MinMon,17,1,2,1,0,0,0,0,0,0,0,0,0,,,,,
38895,2,DMinMon,18,1995,2001,2008,2011,1995,1991,1991,1991,1991,1991,1998,2005,,,,,
38895,2,MaxMon,19,8,10,9,9,6,4,1,1,2,5,11,8,,,,,
38895,2,DMaxMon,20,1992,2011,2019,2019,2009,1992,2006,1995,1999,2018,2011,1992,,,,,
38895,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,
38895,3,Mean,1,21.2,23.9,30.2,35.8,39.8,42.1,43.3,42.1,38.6,34.6,28.1,22.2,33.5,,,,
38895,3,MinMon,17,26,30.1,37.2,40.1,42.2,45.8,46.5,46.5,44,41,34.8,28.7,,,,,
