World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,ARGENTINA,,,,,,,,,,,,,,,
Station_Name,EL PALOMAR AERO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
87571,34|36|10|S,58|36|45|W,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-20000-0-87571,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
87571,1,Sum,4,115.9,112.0,104.3,112.4,72.9,54.5,,63.9,66.9,116.3,109.0,104.2,
87571,1,MaxMon,19,275.0,325.0,272.0,215.7,189.7,159.0,,253.4,201.0,265.5,271.0,245.5,
87571,1,DMaxMon,20,2014,2003,2007,1994,2018,2019,,2012,2013,1993,2014,1991,
87571,1,MinMon,17,19.8,13.7,14.4,19.0,3.3,0.5,,0.7,12.6,25.1,26.0,15.7,
87571,1,DMinMon,18,2009,1995,1997,2008,2008,2017,,2006,2004,2005,1994,2008,
87571,1,NOY,98,28.0,28.0,29.0,29.0,28.0,29.0,,28.0,29.0,27.0,29.0,29.0,
87571,1,Max,2,88.0,110.0,90.0,126.0,105.2,55.0,,95.0,95.0,142.0,94.0,95.2,
87571,1,MaxDate,15,2014/07,1998/05,2006/02,2002/16,1992/06,2019/17,,2015/05,2013/06,2014/28,2014/02,1995/04,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_>=_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
87571,2,Count,5,6.6,6.0,6.0,6.8,4.9,4.4,,4.6,5.2,7.3,6.6,6.5,
87571,2,NOY,98,28.0,28.0,29.0,29.0,28.0,29.0,,28.0,29.0,27.0,29.0,29.0,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
87571,3,Mean,1,,,,,,,,,,,,,
87571,3,MaxMon,19,,,,,,,,,,,,,
87571,3,DMaxMon,20,,,,,,,,,,,,,
87571,3,MinMon,17,,,,,,,,,,,,,
87571,3,DMinMon,18,,,,,,,,,,,,,
87571,3,NOY,98,,,,,,,,,,,,,
87571,3,Max,2,,,,,,,,,,,,,
87571,3,MaxDate,15,,,,,,,,,,,,,
87571,3,Min,3,,,,,,,,,,,,,
87571,3,MinDate,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
4,Daily_Minimum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
87571,4,Mean,1,,,,,,,,,,,,,
