World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,REPUBLICA BOLIVARIANA DE VENEZUELA,,,,,,,,,,,,,,,
Station_Name,PALMICHAL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
80479,10|16|26|N,068|15|47|W,761.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
0-20000-0-80479,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
80479,1,Sum,4,55.0,44.0,66.4,97.1,100.0,117.6,138.5,139.4,136.8,175.4,152.2,102.2,1324.6
80479,1,MinMon,17,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,7.3,39.0,21.1,6.7,
80479,1,DMinMon,18,2016,2010,2014,2020,2020,2010,2020,2020,2020,2020,1995,1997,
80479,1,MaxMon,19,546.3,480.8,704.7,409.3,262.3,226.2,362.1,565.1,368.9,994.4,1084.7,709.4,
80479,1,DMaxMon,20,2017,2018,2006,1998,2005,1996,2018,2018,2018,2018,2016,2016,
80479,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
80479,2,Count,5,5.6,4.6,6.4,8.4,10.3,13.2,15.2,15.2,12.3,14.0,11.3,8.8,125.3
80479,2,MinMon,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,
80479,2,DMinMon,18,2016,2010,2005,2020,2020,2010,2020,2020,2020,2020,2006,1995,
80479,2,MaxMon,19,22.0,18.0,31.0,18.0,26.0,21.0,24.0,26.0,25.0,28.0,27.0,23.0,
80479,2,DMaxMon,20,2017,2018,2006,1991,2004,2000,1997,2009,2000,2007,2010,1999,
80479,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
80479,3,Mean,1,24.5,24.8,25.3,26.2,26.2,25.7,25.3,26.0,26.2,25.9,25.1,24.6,25.5
80479,3,MinMon,17,21.8,22.2,22.0,23.0,24.1,23.7,24.0,23.8,24.1,23.0,23.6,22.5,
80479,3,DMinMon,18,2006,2000,2012,2008,2006,2000,1994,2012,2012,2012,2013,2016,
80479,3,MaxMon,19,30.1,32.7,34.9,35.6,30.8,28.2,27.6,32.4,29.6,30.5,28.5,27.8,
