World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Guatemala,,,,,,,,,,,,,,,
Station_Name,Cubulco,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
,15|06|32|N,090|37|14|W,994.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,1,Sum,4,1.7,1.1,5.3,24.5,94.7,204.0,85.3,131.3,167.4,113.3,24.8,3.9,857.3
,1,MinMon,17,0.0,0.0,0.0,0.0,2.0,100.0,7.1,18.1,56.4,10.5,0.0,0.0,
,1,DMinMon,18,1991,1991,1991,2000,2015,2008,2018,2015,2009,2010,1999,1994,
,1,MaxMon,19,9.0,6.0,44.5,186.5,325.8,465.5,334.7,394.6,411.2,267.0,198.8,41.5,
,1,DMaxMon,20,1997,2001,1997,1996,2000,2017,2008,1995,2010,1998,2020,1991,
,1,NOY,98,29,29,29,30,30,30,30,30,30,30,29,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,2,Count,5,0.6,0.4,1.1,2.3,7.8,13.7,8.9,10.6,13.2,9.6,3.2,0.6,72.0
,2,MinMon,17,0.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,7.0,3.0,0.0,0.0,
,2,DMinMon,18,1991,1991,1991,2000,2015,1996,2014,2003,1994,1996,1999,1994,
,2,MaxMon,19,4.0,2.0,4.0,7.0,17.0,22.0,19.0,22.0,23.0,18.0,12.0,3.0,
,2,DMaxMon,20,2020,2001,2003,2010,2000,1992,2008,2010,2010,1998,2020,1992,
,2,NOY,98,29,29,29,30,30,30,30,30,30,30,29,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,3,Mean,1,31.5,33.1,34.7,36.2,35.7,34.5,33.9,34.4,34.0,32.5,31.3,31.1,33.6
