World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Guatemala,,,,,,,,,,,,,,,
Station_Name,La Aurora,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
78641,14|35|10|N,090|31|40|W,1491.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
78641,1,Sum,4,294.2,185.1,160.8,142.5,204.6,264.0,410.0,388.9,325.5,373.5,399.9,263.9,3412.9
78641,1,MinMon,17,88.0,3.9,42.5,20.4,3.4,63.4,186.1,200.8,71.0,98.3,126.8,60.3,
78641,1,DMinMon,18,2016,1998,2010,1991,1995,2003,2015,1999,2004,2010,2008,2014,
78641,1,MaxMon,19,604.7,450.5,444.4,363.6,504.4,775.5,631.6,874.3,705.9,746.2,1156.9,469.9,
78641,1,DMaxMon,20,2018,2004,1993,1999,1996,2006,1997,1997,1994,2000,2020,2006,
78641,1,NOY,98,30,30,30,28,29,29,30,28,30,30,29,28,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
78641,2,Count,5,14.6,12.5,10.6,8.1,11.9,16.1,22.0,20.8,16.8,16.7,17.0,15.9,183.0
78641,2,MinMon,17,9.0,1.0,4.0,2.0,2.0,10.0,15.0,14.0,8.0,8.0,9.0,8.0,
78641,2,DMinMon,18,1996,1998,2001,2020,1995,1998,2005,1995,2004,2015,2008,2014,
78641,2,MaxMon,19,20.0,20.0,21.0,17.0,24.0,29.0,31.0,29.0,24.0,23.0,26.0,23.0,
78641,2,DMaxMon,20,2015,2001,2017,2014,1996,1996,2000,1991,1991,1998,1998,1991,
78641,2,NOY,98,30,30,30,28,29,29,30,28,30,30,29,28,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
78641,3,Mean,1,27.6,28.8,30.2,32.0,32.4,32.3,31.7,31.9,32.1,30.9,28.8,27.8,30.5
78641,3,MinMon,17,25.5,27.1,28.8,30.5,31.2,30.6,30.9,30.9,30.9,28.7,27.6,26.1,
78641,3,DMinMon,18,2003,2009,2013,2008,1992,2006,2012,1993,2007,2008,1996,2010,
78641,3,MaxMon,19,29.0,31.1,32.5,34.0,34.7,35.0,32.6,33.2,34.4,32.0,30.1,29.6,
