World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Guatemala,,,,,,,,,,,,,,,
Station_Name,Las Vegas PHC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
,15|35|07|N,088|56|41|W,10.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,1,Sum,4,2.1,2.8,10.8,37.0,139.0,168.2,97.3,120.1,164.0,115.2,19.6,8.1,884.2
,1,MinMon,17,0.0,0.0,0.0,0.4,53.7,83.4,30.6,38.4,71.1,19.0,0.0,0.0,
,1,DMinMon,18,1992,1992,1991,1998,1999,2001,2018,1997,2012,2009,2008,1998,
,1,MaxMon,19,23.8,35.1,52.2,175.7,395.9,289.4,177.7,256.5,269.3,278.8,157.9,54.6,
,1,DMaxMon,20,1997,2012,2017,1996,2010,2006,2011,1998,2015,2011,1998,2009,
,1,NOY,98,28,29,30,30,30,30,30,30,30,30,29,29,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,2,Count,5,0.3,0.6,1.7,4.0,13.2,18.0,13.6,14.4,19.1,11.9,2.9,0.9,100.6
,2,MinMon,17,0.0,0.0,0.0,0.0,5.0,12.0,6.0,6.0,14.0,5.0,0.0,0.0,
,2,DMinMon,18,1992,1991,1991,1998,1998,2015,2018,1997,1991,2009,2008,1992,
,2,MaxMon,19,2.0,7.0,5.0,12.0,21.0,24.0,31.0,23.0,26.0,21.0,8.0,3.0,
,2,DMaxMon,20,1991,2012,2003,1996,2009,2005,1997,2010,1999,2019,1998,1991,
,2,NOY,98,28,29,30,30,30,30,30,30,30,30,29,29,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
