World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Guatemala,,,,,,,,,,,,,,,
Station_Name,Mazatenango,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
,14|31|42|N,091|30|10|W,352.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,1,Sum,4,2.6,4.2,9.9,30.8,136.8,255.2,177.5,202.1,246.7,146.0,30.7,5.3,1247.8
,1,MinMon,17,0.0,0.0,0.0,0.0,21.9,110.3,18.7,68.3,90.2,26.8,0.0,0.0,
,1,DMinMon,18,2002,1993,1991,1998,1992,2020,2018,1991,2009,2010,2008,2008,
,1,MaxMon,19,13.4,25.2,63.7,108.2,311.5,460.3,415.1,470.8,394.7,384.5,179.1,52.6,
,1,DMaxMon,20,1996,1999,2014,2010,2017,2008,2005,2010,1995,2011,1998,1991,
,1,NOY,98,30,30,30,30,30,30,30,30,30,30,29,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,2,Count,5,0.7,0.8,1.2,3.6,10.4,17.5,13.8,15.2,18.1,12.1,3.9,0.9,98.2
,2,MinMon,17,0.0,0.0,0.0,0.0,2.0,8.0,6.0,9.0,12.0,4.0,0.0,0.0,
,2,DMinMon,18,1993,1991,1991,1998,1992,2015,2018,2003,1991,2010,2007,1992,
,2,MaxMon,19,3.0,3.0,3.0,9.0,19.0,23.0,22.0,26.0,26.0,22.0,13.0,3.0,
,2,DMaxMon,20,1991,2018,1992,2010,2017,1999,2010,2010,1999,2019,2018,1991,
,2,NOY,98,30,30,30,30,30,30,30,30,30,30,29,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
