World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Indonesia,,,,,,,,,,,,,,,
Station_Name,Stasiun-Meteorologi-Juwata,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
96509,03|19|48|N,117|34|12|E,6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-20000-0-96509,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
96509,1,Sum,4,299.2,235.3,355.5,351,373.3,312.4,320.5,291.9,312.6,360.3,391.7,375,3978.7
96509,1,MinMon,17,48.7,95.1,126.4,52,212.5,168.3,131.1,42.2,38.3,201.3,224.6,117.2,
96509,1,DMinMon,18,1992,1992,1998,1998,2001,2017,2003,1997,1997,1991,1994,1992,
96509,1,MaxMon,19,673.1,482.3,768.8,625.3,577.4,589.9,600,453.7,532.6,843.4,684.4,619.1,
96509,1,DMaxMon,20,2012,1997,1995,1996,2002,2006,2014,2014,1993,2016,1999,2019,
96509,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
96509,2,Count,5,17.5,15.4,19,19.3,20.3,17.4,17.6,16.3,16.5,20.2,21.1,20.4,221
96509,2,MinMon,17,7,7,9,9,14,12,10,4,7,12,15,14,
96509,2,DMinMon,18,1992,2004,1998,1998,2003,1991,1994,2004,1997,1991,1991,2001,
96509,2,MaxMon,19,27,21,25,25,26,23,26,24,28,31,30,31,
96509,2,DMaxMon,20,2008,1997,2011,1996,2016,1996,2010,1999,2002,2012,2012,2012,
96509,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
96509,3,Mean,1,30.6,30.8,30.9,31.3,31.5,31.3,31.2,31.5,31.5,31.4,31.2,31,31.2
96509,3,MinMon,17,29.4,29.7,29.7,30.2,30.5,29.9,30.2,30.5,30.5,30.5,30.4,29.9,
96509,3,DMinMon,18,1996,1997,2012,2011,1991,2008,2008,2008,2010,2011,2008,2007,
96509,3,MaxMon,19,31.6,32,31.7,32.1,32.4,32.1,32.2,32.6,32.7,32.4,32.3,32.3,
96509,3,DMaxMon,20,2016,2016,2016,2020,2000,1997,2015,2019,2019,2014,2019,2000,
