World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Indonesia,,,,,,,,,,,,,,,
Station_Name,Stasiun-Meteorologi-Supadio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
96581,00|08|31|S,109|27|00|E,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-20000-0-96581,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
96581,1,Sum,4,281.2,216.9,233.4,269.8,255.9,203.2,182,161.9,175.2,311.4,331.2,312.1,2934.2
96581,1,MinMon,17,118.3,66.9,137.3,146,63.6,82.4,40.6,0,10.3,129.7,190.6,140.9,
96581,1,DMinMon,18,1997,2009,2006,1999,2000,1992,2006,1997,1994,2006,1997,2005,
96581,1,MaxMon,19,498.2,600.5,357.7,529.5,588.1,402.6,473.2,489.3,323.7,501.4,668,557,
96581,1,DMaxMon,20,1995,2016,1994,2003,2016,2019,2020,1998,2010,2007,2009,2019,
96581,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
96581,2,Count,5,16.6,13.6,15,16.5,17.1,12.6,11.7,11,13.2,19.2,20.7,19.6,186.8
96581,2,MinMon,17,9,8,7,10,8,4,3,0,2,11,14,11,
96581,2,DMinMon,18,1996,2002,2000,1991,1996,2004,1994,1997,1994,2006,1997,1995,
96581,2,MaxMon,19,22,24,26,25,31,21,31,31,30,31,29,28,
96581,2,DMaxMon,20,1991,2016,1994,2003,2013,2014,2013,2013,2013,2013,2013,2013,
96581,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
96581,3,Mean,1,31.6,31.8,32.1,32.3,32.4,32.3,32.1,32.3,32.2,31.9,31.7,31.4,32
96581,3,MinMon,17,30.9,31,31.5,31.7,31.9,31.6,31.4,31.5,31.6,31.3,31.1,31,
96581,3,DMinMon,18,2014,1996,2008,1997,1993,1996,2004,1995,2001,1997,1992,1992,
96581,3,MaxMon,19,32.4,32.2,32.8,32.9,33.2,32.7,32.7,33.1,32.8,32.3,32.4,32.1,
96581,3,DMaxMon,20,2013,2019,2019,2019,2019,2020,2014,2018,2019,2020,2019,2015,
