World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Belarus,,,,,,,,,,,,,,,
Station_Name,BEREZINO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
26853,53|49|42|N,028|59|52|E,153,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-20000-0-26853,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
26853,1,Sum,4,42.9,38.9,40.2,37.1,57.4,73.6,87.9,62.9,50.2,53.3,45.2,42.9,632.5
26853,1,MinMon,17,7.5,12.7,4.5,0.9,8.2,20.2,7.2,10,9.2,2.9,1.9,17.7,
26853,1,DMinMon,18,2006,2019,2011,2019,2018,2008,1994,1996,2002,2000,1993,2006,
26853,1,MaxMon,19,81.5,71.6,71.8,89.3,117.1,156.3,174.1,203.3,127.6,122,99.7,79.8,
26853,1,DMaxMon,20,2004,2004,2005,2012,2005,1997,2000,2004,1998,2009,2013,2009,
26853,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_>=_1_mmï¿,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
26853,2,Count,5,10.7,9.7,8.9,6.8,9.2,9.5,10.8,8.4,7.6,9.2,9,11.3,111.1
26853,2,MinMon,17,2,5,3,0,2,2,2,2,1,0,1,5,
26853,2,DMinMon,18,2006,1994,2011,2019,2018,2015,1994,1996,2014,2000,1993,1995,
26853,2,MaxMon,19,20,18,14,14,19,19,16,17,15,17,15,18,
26853,2,DMaxMon,20,2007,1999,2008,1995,2010,2012,1996,1998,1994,2002,2001,2017,
26853,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
26853,3,Mean,1,-1.9,-0.7,4.8,13.2,19.3,22.8,24.7,23.8,17.9,10.6,3.6,-0.6,11.5
26853,3,MinMon,17,-8.7,-7,-0.3,9,16,19.6,21.4,20,13.7,6.8,-3.3,-6.4,
26853,3,DMinMon,18,2010,2012,2013,1997,1991,1994,1993,1998,1996,1992,1993,2002,
26853,3,MaxMon,19,2.7,4.8,10.4,16.5,23.5,27.4,28.5,27.1,21.3,13.7,7.2,4.5,
26853,3,DMaxMon,20,2020,2020,2014,2018,2018,1999,2010,2015,2018,2019,1996,2006,
