World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Belarus,,,,,,,,,,,,,,,
Station_Name,OSHMYANY,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
26736,54|25|44|N,025|55|25|E,211,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
26736,1,Sum,4,42.6,37.3,38.2,40.3,66.5,68.8,86.7,80.1,54.6,54.5,43.9,44.9,658.4
26736,1,MinMon,17,8.8,13.9,16.7,5.2,6.6,17.1,13.3,13,15,4.1,9.1,16.8,
26736,1,DMinMon,18,2006,2019,2011,2020,1999,2018,1994,1997,2000,2000,1993,2002,
26736,1,MaxMon,19,88.8,76,74.8,76.8,166.8,130.3,229.3,322.2,116.8,144.7,85,75.9,
26736,1,DMaxMon,20,2007,2004,1994,2004,2002,2011,2000,2006,1992,2002,2015,1993,
26736,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_>=_1_mmï¿,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
26736,2,Count,5,11.5,9.9,9.4,7.6,9.4,10.4,10.2,9.1,8.8,9.8,10.2,11.2,117.5
26736,2,MinMon,17,2,5,4,1,3,4,2,3,3,2,1,5,
26736,2,DMinMon,18,2006,2003,2003,2009,1999,2018,1994,1997,2020,2000,1993,2002,
26736,2,MaxMon,19,21,18,17,12,16,17,18,17,17,19,17,20,
26736,2,DMaxMon,20,2007,2004,2008,1998,2010,1991,2011,2006,1994,2002,2001,1993,
26736,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
26736,3,Mean,1,-2,-0.9,4.1,12.3,18.2,21.5,23.5,22.8,17.1,10,3.7,-0.4,10.8
26736,3,MinMon,17,-8.5,-7.2,-1.7,7.8,15,18.6,20,18.8,12.5,5.6,-2.7,-6.8,
26736,3,DMinMon,18,2010,2012,2013,1997,1991,1994,2000,1998,1993,1992,1998,2002,
26736,3,MaxMon,19,3,4.3,9.1,16.2,22.4,26.5,26.8,26,20.3,13.2,6.5,4.7,
26736,3,DMaxMon,20,2020,2020,2014,2018,2018,2019,2010,2015,2018,2000,2013,2006,
26736,3,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
