World Meteorological Organization Climate Normals for 1991-2020
Single Station Data Sheet For All Climatological Surface Parameters
,,,,,,,,,,,,,,,,
Station Header Record
,,,,,,,,,,,,,,,,
Country_Name,GREENLAND
Station_Name,KITSISSUT
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_height
04203,76|43|60|N,73|7|15|W,11
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
0-20000-0-04203
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units
3,Daily_Maximum_Temperature,Deg_C
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
04203,3,Mean,1,-14.7,-15.8,-16.4,-10.0,-2.8,2.2,6.2,5.0,0.6,-3.8,-9.1,-13.0,-6.0
04203,3,NOY,98,12.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0,12.0,12.0,12.0,11.0,11.2
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units
4,Daily_Minimum_Temperature,Deg_C
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
04203,4,Mean,1,-18.4,-19.4,-20.1,-13.4,-5.4,-0.7,2.8,2.3,-1.3,-6.2,-12.5,-16.6,-9.1
04203,4,NOY,98,12.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0,12.0,12.0,12.0,11.0,11.2
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units
5,Daily_Mean_Temperature,Deg_C
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
04203,5,Mean,1,-16.6,-17.7,-18.2,-11.6,-4.0,0.7,4.4,3.7,-0.3,-5.0,-10.9,-14.8,-7.5
04203,5,NOY,98,12.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0,12.0,12.0,12.0,11.0,11.2
