World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Georgia,,,,,,,,,,,,,,,
Station_Name,Sachkhere,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
37403,42|20|00|N,043|26|00|E,461,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-268-0-37403,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
37403,1,Sum,4,74.7,68.3,84,80.8,91.7,94.1,74.2,67.5,82,103.4,86.2,83.9,990.8
37403,1,MinMon,17,14.1,29,26.7,27,33.5,30.4,15.1,16.9,5,31.5,6.1,16,
37403,1,DMinMon,18,1999,1995,1992,2012,2007,2006,2005,2008,2015,1998,2010,2020,
37403,1,MaxMon,19,183.1,135.6,161.1,148.4,185.7,211.2,165.1,139.3,157.1,230,268.8,315.7,
37403,1,DMaxMon,20,1993,2020,2018,2007,2020,2007,2013,1996,2014,2015,2007,1996,
37403,1,NOY,98,29,29,29,29,29,29,29,28,28,28,29,29,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
37403,2,Count,5,10.5,10.1,12.2,11.1,11.9,11.9,10.6,7.5,8.6,9.8,9.7,10.1,124
37403,2,MinMon,17,3,4,7,5,5,6,4,0,2,5,1,3,
37403,2,DMinMon,18,2008,2014,2008,2004,2007,2003,2014,1994,2015,2020,1996,2020,
37403,2,MaxMon,19,19,18,22,22,19,17,19,14,13,19,16,19,
37403,2,DMaxMon,20,2016,2004,2018,2007,2016,2015,2019,2002,2014,2010,2011,2016,
37403,2,NOY,98,29,29,29,29,29,29,29,28,28,28,29,29,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
37403,3,Mean,1,7.3,9.1,13.1,18.6,23.2,26.7,29.5,30.8,26.5,20.9,14.4,8.9,19.1
37403,3,MinMon,17,1.2,2.9,7.6,14.6,20.4,17.7,26.3,26,22,14.9,8.1,2.5,
37403,3,DMinMon,18,1992,1992,2012,2011,2008,1996,2013,2009,1997,1995,2011,1994,
37403,3,MaxMon,19,11.4,12.9,17.1,24.2,29.5,31.8,32.6,35.7,31.6,25.6,19.2,14.8,
37403,3,DMaxMon,20,2010,2015,2020,2012,2007,2007,2001,2010,2015,2020,2010,2010,
37403,3,NOY,98,28,28,28,28,29,29,29,28,28,28,28,28,
