World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Georgia,,,,,,,,,,,,,,,
Station_Name,Tsalka,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
37537,41|36|00|N,044|06|00|E,1468,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-268-0-37537,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
37537,1,Sum,4,18.5,22.9,37.2,73.8,109,115.4,54.4,56.4,47.8,47.2,30.6,22.3,635.5
37537,1,MinMon,17,2.2,3.3,5,25.8,41.8,44.5,12.2,1.3,7.4,2.8,1,1,
37537,1,DMinMon,18,1999,1998,2012,2012,2007,2006,2000,2017,2007,2019,2010,2011,
37537,1,MaxMon,19,45.8,56.2,98.4,163.7,183.9,204.6,102.9,135.9,95.4,114.8,76.4,67.8,
37537,1,DMaxMon,20,2010,2004,1999,2014,2014,2014,2012,2005,2016,2010,2007,1992,
37537,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
37537,2,Count,5,5,5.6,7.5,10.9,14.5,12.7,8.8,8.1,7.7,8.5,5.8,5,100.1
37537,2,MinMon,17,1,2,2,5,7,5,3,1,2,1,0,1,
37537,2,DMinMon,18,2015,1998,2004,2018,2007,2003,2017,2017,2015,2019,1996,2019,
37537,2,MaxMon,19,10,11,13,19,20,21,14,17,17,20,11,10,
37537,2,DMaxMon,20,2010,2011,1991,2007,2012,2009,2003,2002,2014,2010,1998,2002,
37537,2,NOY,98,30,30,30,30,30,30,30,29,29,30,30,30,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
37537,3,Mean,1,2.2,3.2,6.9,12,16.5,20.4,23.1,23.5,19.3,14.6,8.6,4.1,12.9
37537,3,MinMon,17,-3.3,-1.5,2.5,7.3,14.2,18.2,21,19.9,16.3,11,1.5,-0.7,
37537,3,DMinMon,18,2008,1992,2012,2007,2008,1994,1992,2009,1997,2016,1993,2002,
37537,3,MaxMon,19,5.8,7,11.9,16.6,18.9,23.4,27.3,28.4,22.8,18.6,14.6,11.3,
37537,3,DMaxMon,20,1999,2002,2008,2000,2003,2006,2000,2006,2017,2019,2010,2010,
37537,3,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,
