World Meteorological Organization Climate Normals for 1991-2020
Single Station Data Sheet For All Climatological Surface Parameters

Station Header Record

Country_ Name,Italy
Station_Name,Bari Palese

WMO_Number,Latitude,Longitude, Station_Height
16270,41|8|15|N,16|45|54|E,57

Principal Climatological Surface Parameters


Parameter_Code,Parameter_Name,Units
1,Precipitation_Total,mm

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,1,Sum,4,50.85,37.01,40.99,41.96,30.42,29.39,17.76,13.26,41.67,53.90,62.02,47.40,466.63
16270,1,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
2,Number_of_Days_with_Precipitation_>=_1,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,2,Count,5,7.38,5.88,6.44,6.27,4.55,3.15,2.04,2.54,4.84,5.79,7.11,7.32,63.31
16270,2,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
3,Daily_Maximum_Temperature,Deg_C

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,3,Mean,1,12.62,13.18,15.68,19.00,23.65,28.25,30.58,30.52,26.22,21.88,17.63,13.95,21.10
16270,3,NoY,98,26,25,24,25,24,24,25,26,28,28,27,27,25.75


Parameter_Code,Parameter_Name,Units
4,Daily_Minimum_Temperature,Deg_C

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,4,Mean,1,4.14,4.23,6.03,8.95,13.03,17.43,20.02,20.11,16.47,12.54,8.96,5.75,11.47
16270,4,NoY,98,26,25,24,25,24,25,25,26,28,28,27,27,25.83


Parameter_Code,Parameter_Name,Units
5,Daily_Mean_Temperature,Deg_C

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,5,Mean,1,8.28,8.65,10.95,13.93,18.54,23.01,25.39,25.44,21.25,17.18,13.21,9.60,16.29
16270,5,NoY,98,27,27,26,27,27,26,27,28,29,28,28,28,27.33


Parameter_Code,Parameter_Name,Units
6,Mean_Sea_Level_Pressure,hPa

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,6,Mean,1,,1016.66,1014.91,1013.61,1013.95,,1013.49,1013.64,1015.23,1016.91,1016.63,1017.69,
16270,6,NoY,98,23,25,25,27,26,23,25,26,26,26,26,27,25.42


Parameter_Code,Parameter_Name,Units
7,Mean_Vapor_Pressure,hPa

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,7,Mean,1,,8.19,9.28,11.06,14.04,,19.28,20.29,17.53,15.03,11.82,9.13,
16270,7,NoY,98,23,25,25,27,26,23,25,26,26,26,26,27,25.42


Parameter_Code,Parameter_Name,Units
8,Total_Number_of_Hours_of_Sunshine,hours

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,8,Sum,4,,,,,,,,,,,,,
16270,8,NoY,98,19,20,21,21,21,21,22,22,19,20,20,19,20.42


Parameter_Code,Parameter_Name,Units
11,Boundaries_of_quintiles_of_monthly_precipitation,mm

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,11,Q0,6,1.20,3.40,0.00,2.80,0.00,0.00,0.00,0.00,1.00,0.00,3.20,3.20,0.00
16270,11,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
11,Boundaries_of_quintiles_of_monthly_precipitation,mm

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,11,Q1,6,16.60,9.70,16.40,27.20,16.80,3.60,0.40,0.80,7.60,6.00,29.60,16.40,0.40
16270,11,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
11,Boundaries_of_quintiles_of_monthly_precipitation,mm

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,11,Q2,6,36.00,27.80,31.60,37.00,26.20,13.00,6.20,6.00,28.20,17.80,52.80,33.20,6.00
16270,11,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
11,Boundaries_of_quintiles_of_monthly_precipitation,mm

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,11,Q3,6,59.70,38.20,57.00,54.00,41.60,34.80,20.00,12.40,54.40,62.40,68.00,47.80,12.40
16270,11,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
11,Boundaries_of_quintiles_of_monthly_precipitation,mm

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,11,Q4,6,115.60,73.20,98.10,80.20,68.80,93.20,58.60,35.80,73.60,116.40,86.00,89.00,35.80
16270,11,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
11,Boundaries_of_quintiles_of_monthly_precipitation,mm

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,11,Q5,6,144.80,150.40,98.10,86.20,68.80,93.80,127.20,76.40,110.20,188.30,199.60,158.00,68.80
16270,11,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
12,Number_of_Days_with_Maximum_Temperature_>=_30_Deg_C,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,12,Count,5,0.00,0.00,0.00,0.16,1.42,8.93,17.05,16.39,4.04,0.46,0.00,0.00,48.45
16270,12,NoY,98,26,25,24,25,24,24,25,26,28,28,27,27,25.75


Parameter_Code,Parameter_Name,Units
14,Number_of_Days_with_Maximum_Temperature_<_0_Deg_C,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,14,Count,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16270,14,NoY,98,26,25,24,25,24,24,25,26,28,28,27,27,25.75


Parameter_Code,Parameter_Name,Units
15,Number_of_Days_with_Minimum_Temperature_<_0_Deg_C,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,15,Count,5,1.28,1.67,0.36,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,4.02
16270,15,NoY,98,26,25,24,25,24,25,25,26,28,28,27,27,25.83


Parameter_Code,Parameter_Name,Units
16,Number_of_Days_with_Daily_Precipitation_>=_10_mm,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,16,Count,5,1.42,0.96,1.28,1.47,0.91,0.87,0.35,0.32,1.35,1.69,1.99,1.22,13.83
16270,16,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
16,Number_of_Days_with_Daily_Precipitation_>=_20_mm,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,16,Count,5,0.43,0.32,0.45,0.51,0.33,0.44,0.19,0.08,0.65,0.82,0.79,0.42,5.43
16270,16,NoY,98,26,26,24,25,24,25,25,27,28,28,27,28,26.08


Parameter_Code,Parameter_Name,Units
17,Number_of_Days_with_Snow_Depth_>_1_cm,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,17,Count,5,,,,,,,,,0.00,,,,
16270,17,NoY,98,22,21,20,20,20,22,20,22,24,23,22,22,21.50


Parameter_Code,Parameter_Name,Units
17,Number_of_Days_with_Snow_Depth_>_5_cm,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,17,Count,5,,,,,,,,,0.00,,,,
16270,17,NoY,98,22,21,20,20,20,22,20,22,24,23,22,22,21.50


Parameter_Code,Parameter_Name,Units
17,Number_of_Days_with_Snow_Depth_>_10_cm,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,17,Count,5,,,,,,,,,0.00,,,,
16270,17,NoY,98,22,21,20,20,20,22,20,22,24,23,22,22,21.50


Parameter_Code,Parameter_Name,Units
18,Number_of_Days_with_Wind_Speed_>=_10_m/s,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,18,Count,5,12.95,13.05,14.71,12.86,11.56,10.66,9.50,9.69,9.63,9.85,11.45,12.47,138.38
16270,18,NoY,98,26,25,25,25,25,27,25,27,29,28,27,28,26.42


Parameter_Code,Parameter_Name,Units
18,Number_of_Days_with_Wind_Speed_>=_20_m/s,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,18,Count,5,0.54,0.60,0.84,0.44,0.80,0.33,0.20,0.37,0.41,0.50,1.04,0.79,6.86
16270,18,NoY,98,26,25,25,25,25,27,25,27,29,28,27,28,26.42


Parameter_Code,Parameter_Name,Units
19,Number_of_Days_with_Visibility_<_500_m,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,19,Count,5,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
16270,19,NoY,98,25,25,25,27,26,25,25,26,27,26,27,27,25.92


Parameter_Code,Parameter_Name,Units
19,Number_of_Days_with_Visibility_<_100_m,count

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,19,Count,5,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
16270,19,NoY,98,25,25,25,27,26,25,25,26,27,26,27,27,25.92


Parameter_Code,Parameter_Name,Units
22,Highest_Value_of_Daily_Maximum_Temperature,Deg_C

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,22,Max,2,23.20,25.10,25.60,31.90,39.10,45.50,45.60,44.80,37.60,33.10,28.70,24.00,45.60
16270,22,NoY,98,26,25,24,25,24,24,25,26,28,28,27,27,25.75


Parameter_Code,Parameter_Name,Units
23,Lowest_Value_of_Daily_Minimum_Temperature,Deg_C

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
16270,23,Min,3,-5.90,-2.80,-2.30,-0.90,5.70,9.00,13.60,13.00,8.50,4.00,0.20,-2.70,-5.90
16270,23,NoY,98,26,25,24,25,24,25,25,26,28,28,27,27,25.83


Parameter_Code,Parameter_Name,Units
24,Highest_Value_of_Daily_Precipitation,mm

