World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country_Name,LATVIA,,,,,,,,,,,,,,,,,,,,,
Station_Name,KOLKA,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,,,,,,
26313,57|44|49|N,22|35|16|E,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,,,,,,,
0-20000-0-26313,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,
26313,1,Sum,4,44.2,36.1,34.3,31.2,34,62.7,71.5,82.2,58.1,68.2,58.1,48.6,629.2,,,,,,
26313,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_>=_1_mm,count,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,
26313,2,Count,5,10,9,8,7,6,9,9,10,9,12,11,11,111,,,,,,
26313,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,
26313,3,Mean,1,1.1,0.6,3.4,8.3,13.8,18,21.1,20.7,16.4,10.7,5.9,2.7,10.2,,,,,,
26313,3,NOY,98,29,30,30,30,29,29,30,29,30,30,28,29,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,
4,Daily_Minimum_Temperature,Deg_C,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,
26313,4,Mean,1,-3.1,-4.2,-2.6,0.8,5.2,9.9,13.2,12.8,9.5,5.2,1.8,-1.3,3.9,,,,,,
26313,4,NOY,98,29,30,30,30,29,29,30,29,30,30,28,29,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
