World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Poland,,,,,,,,,,,,,,,
Station_Name,Koszalin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
12105,54|07|18|N,016|05|31|E,32.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
0-20000-0-12105,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
12105,1,Sum,4,52.4,40.1,46.0,33.8,54.3,76.4,90.2,88.8,74.7,66.0,56.1,59.2,738.0
12105,1,MinMon,17,2.1,4.2,9.4,2.3,15.6,0.9,13.2,13.3,23.6,16.6,5.3,19.6,
12105,1,DMinMon,18,1997,2015,2012,2019,2012,1992,1994,2015,2016,1993,2011,2002,
12105,1,MaxMon,19,151.8,72.2,101.3,90.0,109.2,236.1,189.0,215.1,162.8,164.4,102.8,107.4,
12105,1,DMaxMon,20,2007,1998,2008,1999,2010,1991,1993,2006,2001,2002,1992,1999,
12105,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
12105,2,Count,5,10.4,8.9,9.0,6.7,9.4,10.0,10.5,10.8,9.8,10.9,10.7,12.1,119.2
12105,2,MinMon,17,0.0,1.0,3.0,1.0,3.0,0.0,1.0,3.0,2.0,4.0,1.0,5.0,
12105,2,DMinMon,18,1997,2003,2011,2009,2008,1992,1994,1997,2016,1993,2018,1995,
12105,2,MaxMon,19,21.0,16.0,16.0,13.0,17.0,22.0,18.0,20.0,16.0,21.0,20.0,22.0,
12105,2,DMaxMon,20,2007,1999,1994,2001,2010,1991,2007,2006,1993,1997,1992,1999,
12105,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
12105,3,Mean,1,2.5,3.5,7.0,12.8,17.1,20.1,22.4,22.5,18.2,12.7,7.1,3.5,12.4
12105,3,MinMon,17,-3.2,-1.0,2.5,8.9,11.7,17.3,18.3,18.9,14.1,9.2,2.1,-2.4,
12105,3,DMinMon,18,2010,1996,2013,1997,1991,2001,2000,1998,1996,1992,1998,2010,
12105,3,MaxMon,19,6.7,7.4,11.0,16.8,21.5,26.5,26.6,26.1,21.6,15.8,9.7,7.9,
