World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Poland,,,,,,,,,,,,,,,
Station_Name,Pila,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
12230,53|04|31|N,016|26|43|E,72.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
0-20000-0-12230,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
12230,1,Sum,4,39.4,29.0,39.5,27.7,57.1,56.0,72.6,65.5,49.2,38.5,35.1,40.4,550.0
12230,1,MinMon,17,1.7,5.0,8.1,1.6,3.8,7.9,16.2,3.5,11.2,6.4,1.7,7.1,
12230,1,DMinMon,18,1997,2018,1996,2020,2008,1992,2006,2015,2016,2010,2011,1996,
12230,1,MaxMon,19,89.3,78.6,82.5,82.9,155.5,135.5,139.8,153.3,125.0,115.0,104.5,93.3,
12230,1,DMaxMon,20,2007,2002,1992,2008,2013,2012,2017,2010,2001,2002,2010,1993,
12230,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
12230,2,Count,5,8.8,7.6,8.6,6.0,8.7,8.8,9.3,8.7,7.9,7.9,8.0,9.2,99.5
12230,2,MinMon,17,0.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,3.0,
12230,2,DMinMon,18,1997,2019,1996,2020,2008,1992,1994,2015,2016,2010,2011,1996,
12230,2,MaxMon,19,17.0,15.0,17.0,14.0,18.0,14.0,16.0,20.0,15.0,17.0,16.0,18.0,
12230,2,DMaxMon,20,1994,2000,1994,1999,2010,1993,1993,2006,2001,2002,2010,1993,
12230,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
12230,3,Mean,1,1.8,3.4,7.8,14.6,19.4,22.6,24.8,24.4,19.0,13.0,6.5,2.9,13.3
12230,3,MinMon,17,-4.5,-1.5,2.3,10.3,14.3,19.4,20.1,21.1,14.6,9.4,1.5,-3.1,
12230,3,DMinMon,18,2010,1996,2013,1997,1991,1991,2000,1998,1996,2003,1993,2010,
12230,3,MaxMon,19,6.6,7.6,11.7,18.9,23.5,29.4,30.0,29.4,22.7,15.8,9.1,7.7,
