World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Spain,,,,,,,,,,,,,,,
Station_Name,JEREZ DE LA FRONTERA/AEROPUERTO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,,
8451,36|45|02|N,006|03|21|W,27.000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
0-20000-0-08451,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
8451,1,Sum,4,66.5,50.3,53.9,47.9,33.7,8.2,0.5,2.4,31.6,83.5,82.5,85.7,546.7
8451,1,MinMon,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.4,6.9,
8451,1,DMinMon,18,2005,1997,1997,2005,1991,1996,1992,1993,2004,1995,2013,1993,
8451,1,MaxMon,19,339.3,269.8,257.6,148.0,131.1,71.6,8.9,25.6,135.8,194.7,231.8,606.4,
8451,1,DMaxMon,20,1996,2010,2018,2008,2016,1992,2008,2007,2007,1991,2014,1996,
8451,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
2,Number_of_Days_with_Precipitation_≥_1_mm,count,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
8451,2,Count,5,6.3,5.9,6.4,5.7,3.7,1.1,0.2,0.4,2.6,6.3,6.8,7.2,52.6
8451,2,MinMon,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
8451,2,DMinMon,18,2005,1997,1994,2005,1991,1996,1992,1992,1995,1995,2013,1994,
8451,2,MaxMon,19,19.0,17.0,19.0,12.0,9.0,5.0,1.0,3.0,7.0,17.0,16.0,21.0,
8451,2,DMaxMon,20,1996,2010,2018,2000,2016,1992,1991,2017,1997,2003,1997,1996,
8451,2,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
8451,3,Mean,1,16.7,18.3,21.1,23.1,27.0,31.0,34.5,34.7,30.8,26.3,20.6,17.5,25.1
8451,3,MinMon,17,13.6,15.9,17.8,19.7,24.0,25.6,32.0,31.3,28.0,22.8,17.5,14.5,
8451,3,DMinMon,18,2009,1991,2018,2000,2004,1992,2014,2002,1993,1993,2008,2008,
8451,3,MaxMon,19,19.0,21.5,25.1,25.9,30.6,34.1,36.9,36.7,33.3,30.5,23.0,21.1,
