Elem,Rgn,ID,      WIGOS_ID        ,Latitude,Longitude,Elevation,   Country,                 Station                        , Jan  , Feb   , Mar   , Apr   , May   , Jun   , Jul   , Aug   , Sep   , Oct   , Nov   , Dec   , Annual
007,1,00060620,0-20000-0-60620     ,  27.837,  -0.194,  279.2,Algeria                       ,Adrar                         ,     5.2,     4.9,     5.1,     5.6,     6.5,     7.1,     7.3,     8.6,    10.1,     9.5,     7.3,     6.3,     7.0
007,1,00060560,0-20000-0-60560     ,  32.752,  -0.594, 1076.0,Algeria                       ,AinSefra                      ,     6.0,     6.2,     7.1,     8.1,     9.6,    11.2,    11.8,    12.4,    12.2,    10.2,     8.0,     6.9,     9.1
007,1,00060390,0-20000-0-60390     ,  36.690,   3.217,   25.0,Algeria                       ,AlgerDarElBeida               ,    10.3,    10.4,    11.8,    13.3,    16.0,    19.2,    22.5,    23.5,    20.6,    17.1,    13.2,    11.2,    15.8
007,1,00060360,0-20000-0-60360     ,  36.822,   7.803,    3.0,Algeria                       ,Annaba                        ,    10.5,    10.5,    11.7,    13.5,    16.2,    19.7,    22.9,    24.1,    21.4,    17.6,    13.5,    11.3,    16.1
007,1,00060468,0-20000-0-60468     ,  35.761,   6.320,  821.3,Algeria                       ,Batna                         ,     6.6,     6.4,   -99.9,     8.6,    10.5,    11.7,    12.4,    13.2,    13.4,    11.0,     8.4,     7.2,   -99.9
007,1,00060444,0-20000-0-60444     ,  36.068,   4.794,  955.0,Algeria                       ,BBArreridj                    ,     7.0,     6.9,     7.7,     8.8,    10.6,    12.1,    13.0,    13.7,    13.5,    11.2,     9.0,     7.7,    10.1
007,1,00060686,0-20000-0-60686     ,  21.376,   0.932,  395.0,Algeria                       ,BBMokhtar                     ,     4.2,     4.2,     4.7,     5.3,     7.2,     9.0,    12.2,    14.8,    11.2,     7.8,     5.5,     4.5,     7.6
007,1,00060571,0-20000-0-60571     ,  31.654,  -2.252,  808.6,Algeria                       ,Bechar                        ,     5.7,     5.8,     6.1,     6.8,     7.7,     8.5,     8.8,    10.3,    10.9,   -99.9,     7.7,   -99.9,   -99.9
007,1,00060402,0-20000-0-60402     ,  36.716,   5.075,    1.8,Algeria                       ,BejaiaAeroport                ,    10.2,    10.4,    11.9,    13.6,    16.7,    20.5,    23.8,    24.7,    21.7,    17.6,    13.1,   -99.9,   -99.9
007,1,00060602,0-20000-0-60602     ,  30.128,  -2.149,  510.0,Algeria                       ,BeniAbbes                     ,     6.0,     5.9,     6.2,   -99.9,     7.7,     8.5,     9.0,    10.5,    11.0,    10.1,     8.1,     7.0,   -99.9
007,1,00060518,0-20000-0-60518     ,  35.301,  -1.395,   68.0,Algeria                       ,BeniSaf                       ,    11.1,    11.7,    13.0,    14.2,    16.8,    20.6,    23.8,    25.3,    22.3,    18.6,    13.9,    12.1,    17.0
007,1,00060525,0-20000-0-60525     ,  34.795,   5.731,   82.0,Algeria                       ,Biskra                        ,     7.8,     7.4,     8.2,     9.4,    10.9,    12.5,    13.9,    15.2,    15.7,    13.1,    10.2,     8.5,    11.1
007,1,00060425,0-20000-0-60425     ,  36.216,   1.322,  159.0,Algeria                       ,Chlef                         ,     9.7,     9.8,    10.9,    11.8,   -99.9,    14.8,    16.3,    17.4,    16.8,   -99.9,   -99.9,    10.5,   -99.9
007,1,00060419,0-20000-0-60419     ,  36.278,   6.628,  685.2,Algeria                       ,Constantine                   ,     7.7,     7.7,     8.8,    10.4,    12.6,    14.0,    14.9,    15.8,    15.5,    12.8,     9.9,     8.3,    11.5
007,1,00060670,0-20000-0-60670     ,  24.288,   9.468,  968.0,Algeria                       ,Djanet                        ,     4.8,     4.6,     5.0,     6.1,     7.5,     8.3,     8.0,     9.1,     8.7,     8.4,     6.4,     5.4,     6.9
007,1,00060535,0-20000-0-60535     ,  34.654,   3.281, 1180.0,Algeria                       ,Djelfa                        ,     6.4,     6.3,     7.2,     8.0,     9.4,    10.8,    11.3,    12.1,    12.3,    10.6,     8.3,     7.2,     9.2
007,1,00060550,0-20000-0-60550     ,  33.720,   1.095, 1361.0,Algeria                       ,ElBayadh                      ,     5.6,     5.5,     6.1,     6.8,     7.6,     8.5,     8.6,     9.5,    10.0,     8.9,     7.2,     6.4,     7.6
007,1,00060590,0-20000-0-60590     ,  30.573,   2.868,  397.0,Algeria                       ,ElGolea                       ,     6.6,     6.3,     7.1,     7.8,     9.0,    10.5,    10.9,    11.9,    12.7,    11.3,     8.7,     7.5,     9.2
007,1,00060559,0-20000-0-60559     ,  33.506,   6.788,   63.0,Algeria                       ,ElOued                        ,     8.2,     7.8,     9.0,    10.3,    12.1,    14.1,    15.5,    16.7,    17.5,    14.4,    10.7,     8.9,    12.1
007,1,00060566,0-20000-0-60566     ,  32.386,   3.784,  466.0,Algeria                       ,Ghardaia                      ,     6.9,     6.5,     7.3,     8.0,     9.2,    10.7,    11.5,    12.4,    13.3,    11.6,     9.1,     7.8,     9.5
007,1,00060581,0-20000-0-60581     ,  31.659,   6.141,  140.0,Algeria                       ,HassiMessaoud                 ,     7.4,     7.0,     7.8,     8.8,    10.3,    11.6,    12.4,    13.5,    14.3,    12.5,     9.6,   -99.9,   -99.9
007,1,00060640,0-20000-0-60640     ,  26.719,   8.617,  542.0,Algeria                       ,Illizi                        ,     6.3,     6.1,     6.7,     7.2,     9.3,    10.1,     9.9,    11.1,    11.4,    10.7,     8.0,     7.0,     8.7
007,1,00060611,0-20000-0-60611     ,  28.053,   9.640,  560.0,Algeria                       ,InAmenas                      ,     5.6,     5.5,     6.2,     7.1,     8.5,     9.8,     9.8,    11.0,    11.1,    10.2,     7.5,     6.5,     8.2
007,1,00060630,0-20000-0-60630     ,  27.254,   2.512,  268.0,Algeria                       ,InSalah                       ,     6.1,     5.9,     6.2,     6.8,     8.1,     9.1,     9.1,    10.0,    10.8,    10.0,     7.9,     6.9,     8.1
007,1,00060351,0-20000-0-60351     ,  36.795,   5.877,    8.0,Algeria                       ,JijelAeroport                 ,    10.6,    10.5,    11.9,    13.6,    16.5,    20.0,    23.1,    23.9,    21.6,    17.8,    13.6,    11.4,    16.2
007,1,00060549,0-20000-0-60549     ,  33.546,  -0.235, 1123.2,Algeria                       ,Mecheria                      ,     6.2,     6.4,     7.2,     8.3,     9.7,    11.3,    12.3,    13.2,    12.3,    10.5,     8.1,     7.1,     9.4
007,1,00060437,0-20000-0-60437     ,  36.281,   2.732, 1030.0,Algeria                       ,Medea                         ,     7.5,     7.6,     8.6,     9.6,    11.7,    13.6,    14.6,    15.4,    14.5,    12.2,     9.6,     8.2,    11.1
007,1,00060430,0-20000-0-60430     ,  36.306,   2.228,  715.0,Algeria                       ,Miliana                       ,     8.4,     8.4,     9.3,    10.3,    12.3,    14.0,    15.3,    16.0,    15.3,   -99.9,    10.6,     9.2,   -99.9
007,1,00060457,0-20000-0-60457     ,  35.912,   0.110,  137.0,Algeria                       ,Mostaganem                    ,    10.1,    10.4,    11.6,    12.7,    15.0,    18.2,    21.6,    22.5,    20.1,    16.7,    12.9,    11.0,    15.2
007,1,00060557,0-20000-0-60557     ,  33.261,  -0.317, 1166.0,Algeria                       ,Naama                         ,     5.8,     5.8,     6.5,     7.2,     8.3,     9.5,     9.6,    10.8,    11.1,     9.7,     7.6,     6.7,     8.2
007,1,00060490,0-20000-0-60490     ,  35.631,  -0.604,   90.0,Algeria                       ,OranSennia                    ,    10.1,    10.5,    11.6,    12.5,    14.7,    18.0,    21.3,    22.4,    19.8,    16.6,    12.8,    11.0,    15.1
007,1,00060580,0-20000-0-60580     ,  31.936,   5.412,  143.6,Algeria                       ,Ouargla                       ,     7.7,     7.5,     8.4,     9.2,    10.9,    12.4,    13.1,    14.0,    14.8,    12.9,    10.1,     8.5,    10.8
007,1,00060421,0-20000-0-60421     ,  35.860,   7.130,  888.8,Algeria                       ,OumElBouaghi                  ,     7.3,     7.2,     8.2,     9.8,    11.9,   -99.9,    14.6,    15.3,    14.8,    12.4,     9.4,     7.9,   -99.9
007,1,00060536,0-20000-0-60536     ,  34.892,   0.158,  750.0,Algeria                       ,Saida                         ,     7.4,     7.6,     8.7,     9.6,    11.2,    12.4,    13.3,    14.3,    14.0,    11.9,     9.4,     8.2,    10.7
007,1,00060520,0-20000-0-60520     ,  35.174,  -0.595,  482.0,Algeria                       ,SidiBelAbbes                  ,     8.4,     8.8,     9.9,    10.8,    12.4,    14.0,    15.5,    16.8,    16.0,    13.5,    10.6,     9.2,    12.2
007,1,00060423,0-20000-0-60423     ,  36.298,   7.923,  860.0,Algeria                       ,SoukAhras                     ,     8.0,     8.0,     9.2,    10.6,    12.9,    14.7,    15.7,    16.4,    15.9,    13.2,    10.4,     8.7,    12.0
007,1,00060680,0-20000-0-60680     ,  22.825,   5.452, 1372.0,Algeria                       ,Tamanrasset                   ,     3.2,     3.4,     3.9,     4.4,     5.9,     7.0,     7.4,     9.5,     8.3,     6.8,     4.9,     3.9,     5.7
007,1,00060511,0-20000-0-60511     ,  35.346,   1.468,  977.0,Algeria                       ,Tiaret                        ,     7.1,     7.3,     8.3,     9.3,    10.7,    11.6,    12.0,    12.7,    12.9,    11.2,     9.1,     8.0,    10.0
007,1,00060607,0-20000-0-60607     ,  29.244,   0.284,  312.0,Algeria                       ,Timimoun                      ,     5.5,     5.3,     5.6,     6.3,     7.1,     7.6,     8.1,     8.9,    10.0,     9.0,     7.2,     6.4,     7.2
007,1,00060395,0-20000-0-60395     ,  36.724,   4.019,  153.4,Algeria                       ,TiziOuzou                     ,    10.0,   -99.9,    11.2,    12.7,    15.3,    17.5,    19.3,    20.2,    18.6,    15.9,    12.6,    10.8,   -99.9
007,1,00060531,0-20000-0-60531     ,  35.019,  -1.445,  246.1,Algeria                       ,TlemcenZenata                 ,     9.3,     9.9,    11.1,    12.0,    13.8,    16.3,    18.6,    19.8,    18.0,    15.4,    11.8,    10.2,    13.8
